FID;F1;x;y;uf;num_campo;num_lab;ag_ppm;al_pct;as_ppm;au_ppm;b_ppm;ba_ppm;be_ppm;bi_ppm;ca_pct;cd_ppm;ce_ppm;co_ppm;cr_ppm;cs_ppm;cu_ppm;fe_pct;ga_ppm;ge_ppm;hf_ppm;hg_ppm;in_ppm;k_pct;la_ppm;li_ppm;mg_pct;mn_ppm;mo_ppm;na_pct;nb_ppm;ni_ppm;p_ppm;pb_ppm;pd_ppm;pt_ppm;rb_ppm;re_ppm;s_pct;sb_ppm;sc_ppm;se_ppm;sn_ppm;sr_ppm;ta_ppm;te_ppm;th_ppm;ti_pct;u_ppm;v_ppm;w_ppm;y_ppm;zn_ppm;zr_ppm;k_borborem;eu_borbore;eth_borbor;ct_borbore;BB_SUBCL_1
0;1.000000000000000;-37.616880000000002;-9.149870000000000;AL;JW-L-3038;FEO319;0.050000000000000;2.180000000000000;2.000000000000000;0.050000000000000;5.000000000000000;174.000000000000000;2.400000000000000;0.210000000000000;0.250000000000000;0.005000000000000;101.069999999999993;7.600000000000000;44.000000000000000;2.400000000000000;7.700000000000000;2.250000000000000;8.500000000000000;0.050000000000000;0.070000000000000;0.030000000000000;0.020000000000000;0.380000000000000;30.699999999999999;15.000000000000000;0.220000000000000;321.000000000000000;0.550000000000000;0.050000000000000;0.460000000000000;21.800000000000001;1153.000000000000000;18.199999999999999;0.050000000000000;0.050000000000000;39.799999999999997;0.050000000000000;0.010000000000000;0.070000000000000;3.200000000000000;0.500000000000000;2.000000000000000;72.400000000000006;0.025000000000000;0.025000000000000;10.500000000000000;0.050000000000000;1.450000000000000;47.000000000000000;0.050000000000000;7.380000000000000;31.000000000000000;3.000000000000000;5.1101499;1.4105200;13.6924000;22.2516003;Metamorfismo regional
1;2.000000000000000;-37.890999999999998;-9.366390000000001;AL;JW-L-3039;FEO320;0.005000000000000;0.860000000000000;2.000000000000000;0.050000000000000;5.000000000000000;98.000000000000000;0.900000000000000;0.110000000000000;0.150000000000000;0.005000000000000;29.230000000000000;2.900000000000000;21.000000000000000;0.830000000000000;4.700000000000000;0.990000000000000;3.700000000000000;0.050000000000000;0.025000000000000;0.020000000000000;0.010000000000000;0.150000000000000;19.199999999999999;7.000000000000000;0.160000000000000;135.000000000000000;0.025000000000000;0.020000000000000;0.380000000000000;10.100000000000000;173.000000000000000;11.500000000000000;0.050000000000000;0.050000000000000;22.600000000000001;0.050000000000000;0.005000000000000;0.025000000000000;1.500000000000000;0.500000000000000;1.300000000000000;35.299999999999997;0.025000000000000;0.025000000000000;4.000000000000000;0.040000000000000;0.440000000000000;20.000000000000000;0.050000000000000;3.780000000000000;22.000000000000000;0.250000000000000;3.9128399;0.5462600;7.1647701;15.0001001;Metamorfismo regional
2;3.000000000000000;-38.086430000000000;-9.363440000000001;AL;JW-L-3040;FEO321;0.010000000000000;0.560000000000000;0.500000000000000;0.050000000000000;5.000000000000000;48.000000000000000;0.500000000000000;0.170000000000000;0.080000000000000;0.005000000000000;8.520000000000000;1.300000000000000;19.000000000000000;1.020000000000000;3.900000000000000;0.950000000000000;2.200000000000000;0.050000000000000;0.025000000000000;0.020000000000000;0.010000000000000;0.170000000000000;5.100000000000000;4.000000000000000;0.070000000000000;139.000000000000000;0.025000000000000;0.020000000000000;0.360000000000000;7.500000000000000;82.000000000000000;5.600000000000000;0.050000000000000;0.050000000000000;14.600000000000000;0.050000000000000;0.005000000000000;0.100000000000000;0.500000000000000;0.500000000000000;0.800000000000000;15.500000000000000;0.025000000000000;0.025000000000000;2.900000000000000;0.030000000000000;0.440000000000000;10.000000000000000;0.050000000000000;1.610000000000000;11.000000000000000;1.300000000000000;4.0132599;0.8751960;6.7756100;16.0725994;Metamorfismo regional. Plutônica
3;4.000000000000000;-37.858010000000000;-9.142860000000001;AL;JW-L-3041;FEO322;0.005000000000000;0.550000000000000;0.500000000000000;0.050000000000000;5.000000000000000;39.000000000000000;0.400000000000000;0.010000000000000;0.060000000000000;0.005000000000000;10.720000000000001;0.800000000000000;32.000000000000000;0.670000000000000;2.300000000000000;0.550000000000000;2.300000000000000;0.050000000000000;0.025000000000000;0.030000000000000;0.010000000000000;0.090000000000000;7.400000000000000;2.000000000000000;0.030000000000000;60.000000000000000;0.120000000000000;0.010000000000000;0.080000000000000;15.800000000000001;52.000000000000000;11.000000000000000;0.050000000000000;0.050000000000000;8.800000000000001;0.050000000000000;0.005000000000000;0.050000000000000;0.500000000000000;0.500000000000000;0.800000000000000;17.100000000000001;0.025000000000000;0.025000000000000;5.000000000000000;0.005000000000000;0.630000000000000;9.000000000000000;0.050000000000000;1.720000000000000;5.000000000000000;1.100000000000000;4.3755898;0.6219490;5.9092202;15.7079000;Metamorfismo regional
4;5.000000000000000;-37.858010000000000;-9.142860000000001;AL;JW-L-3042;FEO323;0.005000000000000;0.505000000000000;0.750000000000000;0.050000000000000;0.500000000000000;35.000000000000000;0.400000000000000;0.055000000000000;0.060000000000000;0.005000000000000;10765.000000000000000;0.550000000000000;32.000000000000000;0.635000000000000;1.500000000000000;0.330000000000000;1.950000000000000;0.050000000000000;0.025000000000000;0.005000000000000;0.010000000000000;0.075000000000000;7.450000000000000;1.500000000000000;0.030000000000000;34.500000000000000;0.115000000000000;0.010000000000000;0.090000000000000;16.149999999999999;25.000000000000000;10.400000000000000;0.050000000000000;0.050000000000000;8.150000000000000;0.050000000000000;0.005000000000000;0.025000000000000;0.450000000000000;0.500000000000000;0.750000000000000;15.949999999999999;0.025000000000000;0.025000000000000;4.850000000000000;0.005000000000000;0.555000000000000;8.000000000000000;0.050000000000000;1675.000000000000000;5.500000000000000;0.900000000000000;4.3755898;0.6219490;5.9092202;15.7079000;Metamorfismo regional
5;6.000000000000000;-35.428840000000001;-9.005720000000000;AL;JW-L-3001;FEO282;0.100000000000000;1.980000000000000;6.000000000000000;0.050000000000000;5.000000000000000;110.000000000000000;1.100000000000000;0.200000000000000;0.110000000000000;0.010000000000000;67.010000000000005;4.500000000000000;18.000000000000000;2.160000000000000;12.500000000000000;2.560000000000000;8.400000000000000;0.050000000000000;0.050000000000000;0.030000000000000;0.010000000000000;0.230000000000000;33.700000000000003;8.000000000000000;0.290000000000000;314.000000000000000;2.220000000000000;0.005000000000000;0.370000000000000;6.000000000000000;514.000000000000000;12.300000000000001;0.050000000000000;0.050000000000000;28.699999999999999;0.050000000000000;0.010000000000000;0.220000000000000;4.000000000000000;0.500000000000000;1.800000000000000;17.600000000000001;0.025000000000000;0.025000000000000;12.500000000000000;0.040000000000000;2.380000000000000;57.000000000000000;0.050000000000000;12.960000000000001;35.000000000000000;0.250000000000000;1.3514200;2.0271201;11.8100004;10.5578003;Clástica
6;7.000000000000000;-37.747140000000002;-8.972170000000000;AL;JW-L-3002;FEO283;0.020000000000000;1.380000000000000;1.000000000000000;0.050000000000000;5.000000000000000;65.000000000000000;1.100000000000000;0.140000000000000;0.190000000000000;0.030000000000000;22.710000000000001;3.400000000000000;77.000000000000000;2.450000000000000;9.100000000000000;1.560000000000000;4.400000000000000;0.050000000000000;0.025000000000000;0.020000000000000;0.010000000000000;0.290000000000000;16.300000000000001;12.000000000000000;0.250000000000000;236.000000000000000;1.930000000000000;0.040000000000000;0.300000000000000;39.299999999999997;161.000000000000000;5.900000000000000;0.050000000000000;0.050000000000000;37.899999999999999;0.050000000000000;0.005000000000000;0.160000000000000;3.100000000000000;0.500000000000000;1.200000000000000;30.199999999999999;0.025000000000000;0.025000000000000;5.700000000000000;0.060000000000000;0.570000000000000;22.000000000000000;0.050000000000000;6.340000000000000;25.000000000000000;0.250000000000000;3.9016700;1.4204100;11.8169003;15.4638996;Metamorfismo regional
7;8.000000000000000;-35.634349999999998;-8.919180000000001;AL;JW-L-3003;FEO284;0.030000000000000;3.770000000000000;2.000000000000000;0.050000000000000;5.000000000000000;101.000000000000000;0.500000000000000;2.090000000000000;0.050000000000000;0.020000000000000;23.390000000000001;11.199999999999999;8.000000000000000;6.520000000000000;3.600000000000000;3.110000000000000;11.699999999999999;0.050000000000000;0.025000000000000;0.160000000000000;0.020000000000000;0.100000000000000;12.300000000000001;13.000000000000000;0.090000000000000;542.000000000000000;1.250000000000000;0.005000000000000;0.230000000000000;3.300000000000000;780.000000000000000;23.199999999999999;0.050000000000000;0.050000000000000;13.900000000000000;0.050000000000000;0.030000000000000;0.140000000000000;4.900000000000000;1.000000000000000;1.100000000000000;7.600000000000000;0.025000000000000;0.025000000000000;6.300000000000000;0.040000000000000;2.680000000000000;72.000000000000000;0.050000000000000;4.630000000000000;32.000000000000000;0.250000000000000;1.1147500;1.9849100;8.0180302;8.4283800;Metamorfismo regional
8;9.000000000000000;-35.862420000000000;-8.951330000000000;AL;JW-L-3004;FEO285;0.020000000000000;3.880000000000000;3.000000000000000;0.050000000000000;5.000000000000000;13.000000000000000;0.600000000000000;0.710000000000000;0.020000000000000;0.010000000000000;3.680000000000000;1.300000000000000;70.000000000000000;0.750000000000000;5.500000000000000;5.340000000000000;20.199999999999999;0.050000000000000;0.180000000000000;0.210000000000000;0.040000000000000;0.030000000000000;2.500000000000000;2.000000000000000;0.020000000000000;80.000000000000000;1.820000000000000;0.005000000000000;0.310000000000000;6.100000000000000;163.000000000000000;6.000000000000000;0.050000000000000;0.050000000000000;2.900000000000000;0.050000000000000;0.020000000000000;0.130000000000000;6.100000000000000;2.000000000000000;1.800000000000000;4.800000000000000;0.025000000000000;0.025000000000000;9.400000000000000;0.030000000000000;1.530000000000000;106.000000000000000;0.300000000000000;0.500000000000000;10.000000000000000;6.300000000000000;0.5892590;2.7142200;13.4460001;11.1477003;Metamorfismo regional
9;10.000000000000000;-35.436100000000003;-9.138650000000000;AL;JW-L-3005;FEO286;0.010000000000000;4.630000000000000;5.000000000000000;0.050000000000000;5.000000000000000;10.000000000000000;0.300000000000000;0.330000000000000;0.020000000000000;0.005000000000000;7.760000000000000;0.600000000000000;15.000000000000000;0.330000000000000;6.800000000000000;2.160000000000000;26.100000000000001;0.050000000000000;0.210000000000000;0.120000000000000;0.040000000000000;0.020000000000000;4.500000000000000;4.000000000000000;0.020000000000000;49.000000000000000;1.880000000000000;0.005000000000000;0.260000000000000;4.000000000000000;287.000000000000000;6.300000000000000;0.050000000000000;0.050000000000000;1.200000000000000;0.050000000000000;0.030000000000000;0.120000000000000;0.900000000000000;0.500000000000000;3.500000000000000;4.900000000000000;0.025000000000000;0.025000000000000;24.399999999999999;0.010000000000000;0.520000000000000;47.000000000000000;0.050000000000000;1.040000000000000;12.000000000000000;12.300000000000001;0.2231170;1.6320699;20.0275002;12.0864000;Clástica
